﻿﻿Translation,original,final,"jan Sonatan","jan Lentan","jan Weko"
Title,"Tears of Steel",
Author/copyright,"© copyright Blender Foundation | mango.blender.org",
Link,https://mango.blender.org/download/,
"CW notes","While the text, consisting entirely of the subtitles, is mostly harmless, the movie shows a brain, killer robots and guns",
"Translation notes","This will be a line-by-line translation of the subtitles of the movie",
"Text notes","Sintel is a movie created as a result of the Blender open movie project ""Mango"" and is released under a Creative Commons Attribution 3.0 license.",
randomized,no,
Predefine,"Thom (person)","jan Ton~~~~jan Sonatan","jan Ton","jan Ton","jan Ton"
Predefine,"Celia (person)","jan Selija~~~~jan Sonatan","jan Selija","jan Selija","jan Selija"
Predefine,"Barley (person)","jan Pale~~~~jan Sonatan","jan Pale","jan Pale","jan Pali"
Predefine,"Captain (person)","jan lawa~~~~jan Sonatan","jan lawa","jan lawa","jan lawa"
Predefine,"Djenghis (person)","jan Senki~~~~jan Sonatan","jan Senki","jan Senki","jan Senki"
Predefine,"Tech head (person)","jan sona~~~~jan Sonatan","jan sona","jan lawa pi sona ilo","jan ilo"
"Text start","[Celia] You're a jerk, Thom.","[jan Selija] jan Ton o, sina jan ike.~~~~jan Lentan","jan Ton o sina jan ike","[jan Selija] jan Ton o, sina jan ike.",
,"[Thom] Look Celia, we have to follow our passions;","jan Selija o sona e ni: mi wile pali e wile mi.~~~~jan Sonatan","jan Selija o sona e ni: mi wile pali e wile mi.","[jan Ton] jan Selia o, mi ale li wile pali e wile ona.",
,"...you have your robotics, and I","sina wile pali e ilo sina.~~~~jan Sonatan","sina wile pali e ilo sina.","sina wile pali e ilo jan. mi",
,"just want to be awesome in space.","mi wile lon ma mun.~~~~jan Sonatan","mi wile lon ma mun.","wile pali pona lon kon mun.",
,"[Celia] Why don't you just admit that","[jan Selija] o toki e ijo lon:~~~~jan Lentan","tan seme la sina li toki ala e ni:","[jan Selija] o toki e ijo lon:",
,"you're freaked out by my robot hand?","sina pilin monsuta tan luka ilo mi!~~~~jan Lentan","luka ilo mi li monsuta tawa sina?","sina pilin monsuta tan luka ilo mi!",
,"[Thom] I'm not freaked out by- it's...","[jan Ton] mi pilin monsuta ala! ni...~~~~jan Lentan","ona li monsuta ala tawa mi...","[jan Ton] mi pilin monsuta ala! ni...",
,"...alright! Fine!","...pona! pona!~~~~jan Sonatan","...pona! pona!","a! mi toki e ijo lon!",
,"I'm freaked out! I have nightmares","mi pilin monsuta! mi lape la mi lukin e ni:~~~~jan Sonatan","mi pilin monsuta! mi lape la mi lukin e ni:","mi pilin monsuta a! sitelen lape ike mi la,",
,"that I'm being chased...","ona li alasa e mi...~~~~jan Sonatan","ona li alasa e mi...","luka wawa ike ilo li wile moli e mi.",
,"...by these giant robotic claws of death...","...luka ilo suli monsuta li alasa e mi...~~~~jan Sonatan","...luka ilo suli monsuta li alasa e mi...","mi wile tawa wawa tan ona a!",
,"[writing] Fourty years later","[sitelen] tenpo sike 40 kama~~~~jan Lentan","tenpo mute li pini...","[sitelen] tenpo sike 40 kama",
,"[Celia] Whatever, Thom. We're done.","jan Ton o mi pini.~~~~jan Sonatan","jan Ton o mi pini.","[jan Selia] jan Ton o, pona pi mi tu li pini.",
,"[Tech head] Robot's memory synced and locked!","[jan lawa pi sona ilo] mi alasa e sona pi ilo jan tan tenpo ni!~~~~jan Lentan","sona pi jan ilo li lon!","[jan lawa pi sona ilo] mi alasa e sona pi ilo jan tan tenpo ni!",
,"[Captain] This is pretty freaky.","[jan lawa] ni li ijo nasa.~~~~jan Lentan","ni li nasa mute.","[jan lawa] ni li ijo nasa.",
,"[Barley] Shouldn't you be down there?","[jan Pale] sina wile lon anpa, anu seme?~~~~jan Lentan","sina wile ala wile lon anpa?","[jan Pale] sina wile lon anpa, anu seme?",
,"[Thom] I heard you guys talking last night.","[jan Ton] tenpo pimeja pini la, mi kute e toki sina.~~~~jan Lentan","tenpo pimeja pini la mi kute e toki sina.","[jan Ton] tenpo pimeja pini la, mi kute e toki sina.",
,"It's not my fault, you know.","ijo ni li tan mi ala. sina sona e ni.~~~~jan Lentan","ni li apeja mi ala.","ijo ni li tan mi ala. sina sona e ni.",
,"[Captain] Are you ready?","[jan lawa] sina ken ala ken pali e ni?~~~~jan Lentan","sina pona ala pona?","[jan lawa] sina ken ala ken pali e ni?",
