Translation,original,final,"jan Sonatan"
Title,Sintel,
Author/copyright,"© copyright Blender Foundation | durian.blender.org",
Link,https://durian.blender.org/download/,
"CW notes","While the text, consisting entirely of the subtitles, is mostly harmless, the movie has themes of death, animal death and sorrow. ",
"Translation notes","This will be a line-by-line translation of the subtitles of the movie",
"Text notes","Sintel is a movie created as a result of the Blender open movie project ""Durian"" and is released under a Creative Commons Attribution 3.0 license.",
randomized,no,
Predefine,"Sintel (person)",,"jan Sinte"
Predefine,"Scales (dragon)",,"akesi seli Sale"
Predefine,"shaman [character]",,"jan sewi"
"Text start","[shaman] This blade has a dark past.",,"ilo utala ni li pali e pali ike."
,"It has shed much innocent blood.",,"ona li lanpan e telo loje mute."
,"You're a fool for traveling alone,",,"sina nasa tan ni: sina tawa kan jan ala."
,"so completely unprepared.",,"sina wawa ala."
,"You're lucky your blood's still flowing.",,"pona la sina moli ala."
,"[Sinetl] Thank you.",,"pona tawa sina."
,"[shaman] So...",,"toki e ni:"
,"What brings you to",,"tan seme la sina lon"
,"the land of the gatekeepers?",,"ma ni?"
,"[Sintel] I'm searching for someone.",,"mi alasa e jan wan."
,"[shaman] Someone very dear?",,"ona li jan pona anu seme?"
,"A kindred spirit?",,"ona li jan mama anu seme?"
,"[Sintel] A dragon.",,"ona li akesi seli."
,"[shaman] A dangerous quest for a lone hunter.",,"alasa sina li monsuta tawa sina."
,"[Sintel] I've been alone for",,"mi pali e ni"
,"as long as I can remember.",,"lon tenpo mute."
,"We're almost done. Shhh...",,"mi pini lon tenpo lili. o toki ala..."
,"Hey, sit still.",,"o tawa ala."
,"Good night, Scales.",,"akesi Sale o lape pona."
,"Get him, Scales! Come on!",,"akesi Sale o lanpan e ona! tawa!"
,Scales?,,"akesi Sale?"
,"Yeah! Come on!",,"a! tawa!"
,Scales!,,"akesi Sale!"
,"[Sintel] I have failed.",,"mi pakala."
,"[shaman] You've only failed to see...",,"sina sona ala e ni:"
,"These are dragon lands, Sintel.",,"jan Sinte o sona e ni: ni li ma pi akesi seli."
,"You are closer than you know.",,"sina lon poka ona."
,"[Sintel] Scales!",,"akesi Sale!"
,Scales?,,"akesi Sale?"
,Scales...,,"akesi Sale..."
